Iteration,Discriminator Loss,Generator Loss
2520,0.820069,0.990801
2530,0.809484,0.884575
2540,0.835174,0.886464
2550,0.877521,0.886071
2560,0.784883,1.421113
2570,0.823721,0.754048
2580,0.849775,0.703588
2590,1.053537,0.913740
2600,0.934036,0.998965
2610,0.936061,0.909619
2620,0.967132,1.126356
2630,0.918597,1.167382
2640,0.895190,1.239198
2650,0.893999,1.115389
2660,1.019689,0.744964
2670,0.995944,0.938334
2680,0.926554,0.576720
2690,0.936656,1.040330
2700,0.965101,0.458919
2710,0.902639,0.869081
2720,0.925390,1.147908
2730,0.904693,1.519058
2740,0.996599,0.858024
2750,0.985028,0.868230
2760,0.917746,0.854159
2770,0.890660,1.194963
2780,0.970171,1.034834
2790,0.988634,0.880410
2800,0.979184,0.858641
2810,1.005353,0.863808
2820,0.871071,0.998701
2830,0.989751,0.732046
2840,1.016167,0.809406
2850,0.956604,0.837081
2860,0.984147,0.664123
2870,0.961497,1.317737
2880,1.037763,1.438668
2890,0.946215,1.101635
2900,0.955482,1.020403
2910,1.004813,0.901327
2920,1.046078,0.856227
2930,0.932225,1.068173
2940,0.998526,0.835148
2950,1.039628,0.850558
2960,1.039012,1.111473
2970,0.930243,1.180060
2980,0.948902,1.268765
2990,1.021801,1.155300
3000,1.005317,1.075963
3010,0.900661,1.043652
3020,0.943680,0.725461
3030,1.086385,1.002188
3040,0.976949,0.648863
3050,1.080914,1.220456
3060,1.021472,0.806858
3070,1.073256,0.928858
3080,1.109251,0.901409
3090,1.008446,0.903666
3100,0.974925,1.035820
3110,0.949122,0.856113
3120,1.026927,0.586871
3130,0.974047,0.826611
3140,1.078160,1.014876
3150,1.073643,0.644059
3160,1.004312,0.667404
3170,0.873174,0.569263
3180,0.987527,0.728259
3190,0.933665,0.908600
3200,1.003906,1.280714
3210,0.959920,1.024005
3220,1.013739,0.886558
3230,0.982406,0.913184
3240,1.022404,0.631685
3250,0.970430,0.977669
3260,0.986121,0.869706
3270,1.032875,0.562346
3280,0.985048,0.654261
3290,0.923840,0.602775
3300,1.156585,1.302213
3310,1.070060,0.705961
3320,1.007650,0.761835
3330,1.097387,0.764714
3340,1.132305,0.659277
3350,1.086313,0.700596
3360,1.164426,0.640829
3370,1.079025,0.693283
3380,1.109764,0.685984
3390,1.085829,0.738753
3400,1.100044,0.734330
3410,1.092768,0.653299
3420,1.099336,0.680296
3430,1.417079,1.733232
3440,1.124907,1.236520
3450,1.096150,1.250198
3460,1.137275,1.187937
3470,1.144758,1.086564
3480,1.063188,1.170676
3490,1.067668,1.018646
3500,1.111073,1.189596
3510,1.117192,1.255846
3520,1.034547,1.012988
3530,1.176821,1.089447
3540,1.090446,1.134653
3550,1.125977,1.124542
3560,1.146208,1.090899
3570,1.007618,1.093763
3580,1.086477,1.292517
3590,1.128334,1.118339
3600,1.169292,1.114524
3610,1.232994,1.196857
3620,1.095323,1.111943
3630,1.032422,1.158561
3640,1.042405,0.773859
3650,1.094847,0.675064
3660,1.104527,0.683265
3670,1.123704,0.666180
3680,1.128942,0.697771
3690,1.126807,0.706816
3700,1.085774,0.711072
3710,1.076437,0.706767
3720,1.170583,0.700768
3730,1.150177,0.672779
3740,1.165240,0.626290
3750,1.166347,0.637241
3760,1.172168,0.633879
3770,1.124048,0.639677
3780,1.138056,0.717188
3790,1.146538,0.630520
3800,1.200766,0.621532
3810,1.171447,0.647432
3820,1.185760,0.660196
3830,1.173915,0.643695
3840,1.186638,0.632972
3850,1.242041,0.685497
3860,1.199513,0.620357
3870,1.217036,0.624578
3880,1.266693,0.596980
3890,1.229674,0.651707
3900,1.240051,0.576154
3910,1.241024,0.592650
3920,1.219848,0.645628
3930,1.266618,0.636275
3940,1.294269,0.585262
3950,1.276992,0.700509
3960,1.274774,0.701116
3970,1.298239,0.945587
3980,1.299660,0.702359
3990,1.327998,0.672769
4000,1.353654,0.611630
4010,1.363493,0.632164
4020,1.370193,0.621751
4030,1.362083,0.566703
4040,1.359594,0.649503
4050,1.345796,0.863462
4060,1.363462,0.630012
4070,1.329164,0.714917
4080,1.349855,0.663902
4090,1.340243,0.637609
4100,1.337730,0.715777
4110,1.353159,0.669468
4120,1.335817,0.597151
4130,1.347979,0.666877
4140,1.348254,0.737862
4150,1.420282,0.536572
4160,1.381433,0.676282
4170,1.348859,0.706108
4180,1.353361,0.596316
4190,1.367429,0.705492
4200,1.335005,0.701931
4210,1.374480,0.682416
4220,1.358360,0.692376
4230,1.311978,0.616143
4240,1.396849,0.662136
4250,1.362806,0.790560
4260,1.362115,0.773291
4270,1.358423,0.668550
4280,1.350686,0.673387
4290,1.374647,0.738609
4300,1.359561,0.679837
4310,1.357778,0.699794
4320,1.381185,0.656047
4330,1.375142,0.649202
4340,1.398062,0.662256
4350,1.360916,0.639302
4360,1.226185,0.504677
4370,1.379158,0.629412
4380,1.378938,0.725678
4390,1.365012,0.692559
4400,1.386644,0.768844
4410,1.377984,0.674778
4420,1.374800,0.666284
4430,1.397676,0.866425
4440,1.240323,0.548116
4450,1.368709,0.671657
4460,1.357391,0.658719
4470,1.369687,0.643981
4480,1.389913,0.601141
4490,1.339408,0.767251
4500,1.367332,0.721686
4510,1.374054,0.719843
4520,1.387171,0.701162
4530,1.381565,0.605435
4540,1.239255,0.574383
4550,1.370005,0.659736
4560,1.353634,0.713835
4570,1.344940,0.717039
4580,1.355303,0.672803
4590,1.340501,0.663792
4600,1.310258,0.623922
4610,1.371388,0.681975
4620,1.371786,0.727750
4630,1.359596,0.674458
4640,1.378610,0.729544
4650,1.382973,0.622650
4660,1.353065,0.647663
4670,1.366927,0.643062
4680,1.368579,0.720825
4690,1.392649,0.663519
4700,1.348278,0.688123
4710,1.367156,0.730912
4720,1.366929,0.666577
4730,1.351077,0.668787
4740,1.336350,0.743105
4750,1.364788,0.594860
4760,1.231769,0.555990
4770,1.325846,0.599214
4780,1.357645,0.637745
4790,1.343955,0.729795
4800,1.249151,0.379651
4810,1.381343,0.756765
4820,1.340384,0.587551
4830,1.337534,0.718828
4840,1.382352,0.789620
4850,1.377501,0.527277
4860,1.367154,0.711631
4870,1.390351,0.478906
4880,1.381748,0.656448
4890,1.335475,0.880340
4900,1.293828,0.787464
4910,1.375672,0.645268
4920,1.324570,0.670968
4930,1.372274,0.699700
4940,1.366379,0.710280
4950,1.333186,0.633161
4960,1.198326,0.466528
4970,1.335812,0.614372
4980,1.383795,0.632169
4990,1.315552,0.662919
5000,1.248783,0.483213
5010,1.359668,0.695851
5020,1.431713,0.649395
5030,1.361981,0.651785
5040,1.354053,0.632215
5050,1.364173,0.754603
5060,1.362345,0.665301
5070,1.341207,0.547930
5080,1.356097,0.653009
5090,1.344532,0.619948
5100,1.332748,0.622234
5110,1.343138,0.653996
5120,1.310013,0.584050
5130,1.363508,0.641387
5140,1.353145,0.668126
5150,1.319733,0.598188
5160,1.343289,0.640776
5170,1.376253,0.678411
5180,1.258639,0.495057
5190,1.293832,0.535929
5200,1.365739,0.575712
5210,1.278089,0.687215
5220,1.214021,0.548395
5230,1.272351,0.543621
5240,1.391374,0.667421
5250,1.236328,0.544244
5260,1.373931,0.679848
5270,1.377907,0.658969
5280,1.324712,0.645135
5290,1.288384,0.546723
5300,1.314430,0.496071
5310,1.297383,0.587475
5320,1.372294,0.664542
5330,1.383314,0.587650
5340,1.242859,0.500188
5350,1.385771,0.557651
5360,1.396454,0.606392
5370,1.350868,0.537282
5380,1.320489,0.624429
5390,1.384060,0.692323
5400,1.357616,0.568123
5410,1.382590,0.676877
5420,1.307579,0.541206
5430,1.370314,0.681219
5440,1.354441,0.582732
5450,1.336653,0.516801
5460,1.294601,0.563721
5470,1.343280,0.634809
5480,1.335512,0.681320
5490,1.329495,0.667151
5500,1.327338,0.662345
5510,1.301989,0.684352
5520,1.350069,0.629583
5530,1.355364,0.714797
5540,1.341083,0.597259
5550,1.385178,0.703716
5560,1.236449,0.566157
5570,1.372771,0.798185
5580,1.350449,0.669344
5590,1.386529,0.607294
5600,1.366447,0.675633
5610,1.360733,0.562440
5620,1.325085,0.665272
5630,1.368184,0.673087
5640,1.381323,0.763228
5650,1.377274,0.694850
5660,1.357105,0.467202
5670,1.364485,0.634984
5680,1.369270,0.622785
5690,1.257097,0.551110
5700,1.351096,0.697428
5710,1.347756,0.719585
5720,1.346949,0.646642
5730,1.263839,0.689933
5740,1.359456,0.686671
5750,1.300692,0.606654
5760,1.338884,0.705590
5770,1.364675,0.647986
5780,1.394176,0.836352
5790,1.374852,0.667044
5800,1.385981,0.859033
5810,1.315449,0.762800
5820,1.208554,0.603729
5830,1.410437,0.612051
5840,1.342522,0.890535
5850,1.257052,0.556774
5860,1.361527,0.657607
5870,1.382383,0.702445
5880,1.346772,0.640281
5890,1.313007,0.610310
5900,1.344427,0.675687
5910,1.329261,0.439467
5920,1.376053,0.757454
5930,1.350417,0.557216
5940,1.329842,0.540155
5950,1.383362,0.648170
5960,1.368636,0.725161
5970,1.306078,0.587754
5980,1.302232,0.568965
5990,1.330074,0.676327
6000,1.352147,0.656584
6010,1.380688,0.732996
6020,1.638116,0.469913
6030,1.383410,0.669168
6040,1.315442,0.675722
6050,1.330608,0.592737
6060,1.376056,0.675277
6070,1.333397,0.746980
6080,1.353626,0.641861
6090,1.294004,0.568250
6100,1.307363,0.523934
6110,1.310230,0.516489
6120,1.385426,0.735820
6130,1.325927,0.575173
6140,1.321192,0.545256
6150,1.310307,0.609864
6160,1.326940,0.471465
6170,1.385547,0.840118
6180,1.387227,0.675803
6190,1.340340,0.671006
6200,1.317806,0.558362
6210,1.378536,0.738505
6220,1.352993,0.756144
6230,1.397424,0.836201
6240,1.350863,0.682293
6250,1.340693,0.621936
6260,1.377608,0.666108
6270,1.338968,0.701296
6280,1.320209,0.665273
6290,1.263270,0.670967
6300,1.309296,0.626708
6310,1.369077,0.621932
6320,1.378801,0.648077
6330,1.275435,0.639736
6340,1.388489,0.733076
6350,1.296207,0.477673
6360,1.343436,0.637817
6370,1.404860,0.779373
6380,1.362813,0.665625
6390,1.282956,0.608227
6400,1.374747,0.676327
6410,1.312112,0.539553
6420,1.331592,0.660195
6430,1.329227,0.842909
6440,1.344538,0.596502
6450,1.268984,0.531876
6460,1.305300,0.620790
6470,1.346338,0.619985
6480,1.372770,0.525134
6490,1.374021,0.700712
6500,1.365829,0.781656
6510,1.310358,0.471443
6520,1.376402,0.689352
6530,1.225303,0.477857
6540,1.339617,0.608552
